firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/littleone85/status/472996317749202944,littleone85,Wine tasting highlights #wine #vino #lavenderfields #allergies 🌾🍃🍇🌷💕 @ Russian River Vineyards http://t.co/ElZkENBZxc,7.1796803,http://twitter.com/littleone85/status/472996317749202944,http://twitter.com/littleone85
06/01/14,http://twitter.com/elizabethbarone/status/472996539900911618,elizabethbarone,"It's also making me incredibly sleepy, so here's hoping I can actually get some rest. #coughhomeremedies #allergies",7.436872,http://twitter.com/elizabethbarone/status/472996539900911618,http://twitter.com/elizabethbarone
06/01/14,http://twitter.com/aleclyster/status/472999051118387201,aleclyster,Really hoping my eyes don't puff up #allergies,8.509725,http://twitter.com/AlecLyster/status/472999051118387201,http://twitter.com/aleclyster
06/01/14,http://twitter.com/pictouseikidons/status/472999076926353408,pictouseikidons,#Food #Allergies Rock with Kyle Dine of #Kingston | HypeFoodie Recipes http://t.co/eDfd2u7dhJ #Missisauga #Ontario #Canada #music #pioneer,7.6646576,http://twitter.com/PictouSeikidoNS/status/472999076926353408,http://twitter.com/pictouseikidons
06/01/14,http://twitter.com/antli0n/status/472999188263751680,antli0n,"I like cats and cats like me, but my eyes and nose don't like cats. #allergies",8.141741,http://twitter.com/antli0n/status/472999188263751680,http://twitter.com/antli0n
06/01/14,http://twitter.com/sambath_ouch/status/473000488129265664,sambath_ouch,My sinuses are feeling a little Joffrey Baratheon right now #spring #allergies #pollen #GameOfThrones #PurpleWedding,6.9962254,http://twitter.com/sambath_ouch/status/473000488129265664,http://twitter.com/sambath_ouch
06/01/14,http://twitter.com/lewiae/status/473001594762842112,lewiae,Benadryl and Miller should never be friends. #outforthecount #allergies #beers #panama #haha #snuggle… http://t.co/61al6TUWxG,7.249444,http://twitter.com/lewiae/status/473001594762842112,http://twitter.com/lewiae
06/01/14,http://twitter.com/sydneyfluh13/status/473002429420535808,sydneyfluh13,I just love sneezing.. #allergies,8.704844,http://twitter.com/sydneyfluh13/status/473002429420535808,http://twitter.com/sydneyfluh13
06/01/14,http://twitter.com/swimkaylaswim/status/473003234697957376,swimkaylaswim,"and then Mother Nature said ""let's make Kays our little bitch"" #allergies",7.8961406,http://twitter.com/swimKaylaswim/status/473003234697957376,http://twitter.com/swimkaylaswim
06/01/14,http://twitter.com/ontarioretweet/status/473004470520266752,ontarioretweet,RT @PictouSeikidoNS: #Food #Allergies Rock with Kyle Dine of #Kingston | HypeFoodie Recipes http://t.co/eDfd2u7dhJ #Missisauga #Ontario #Ca…,6.6363373,http://twitter.com/ontarioretweet/status/473004470520266752,http://twitter.com/ontarioretweet
06/01/14,http://twitter.com/sazmont/status/473006080046682112,sazmont,Home at my parents for the weekend. Plug-in's located and turned off in that time 6. #sarahvsplugins #allergies,7.1083636,http://twitter.com/sazmont/status/473006080046682112,http://twitter.com/sazmont
06/01/14,http://twitter.com/joricharli/status/473007223241576448,joricharli,I hate that I can't breath at night #allergies,8.726712,http://twitter.com/joricharli/status/473007223241576448,http://twitter.com/joricharli
06/01/14,http://twitter.com/abdul_hassan15/status/473009657129488385,abdul_hassan15,Loooong day just passed #thankGod #Allergies,8.30527,http://twitter.com/Abdul_Hassan15/status/473009657129488385,http://twitter.com/abdul_hassan15
06/01/14,http://twitter.com/wandlerchade/status/473009683519647745,wandlerchade,@MaxAnae my nose if full already! No room! #allergies haha you never want to come with us!,7.8724604,http://twitter.com/WandlerChade/status/473009683519647745,http://twitter.com/wandlerchade
06/01/14,http://twitter.com/ucaneat1/status/473014954988429312,ucaneat1,If you suffer from #allergies discover our top 5 reasons why you need to attend the @AllergyShow  http://t.co/rHEVWmZy0A #AllergyShow,7.3666854,http://twitter.com/ucaneat1/status/473014954988429312,http://twitter.com/ucaneat1
