doctor 0
follow 5
hate 2
row 0
tv 2
disgusting 0
"#angelinajolie" 3
tf 2
sorry 2
worth 3
sent 2
risk 3
fat 2
choice 3
fan 2
awful 2
courageous 3
condition 2
cool 2
die 2
shock 2
leave 2
team 2
brave 3
tired 2
sigh 2
video 0
giving 2
waiting 2
suspect 2
appeal 0
told 2
angelina 3
sexy 2
strong 2
prosecutors 0
healthy 2
study 1
guilty 0
jamb 1
weird 2
makes 2
thats 2
teenage 2
via 0
love 2
win 5
fake 2
eye 2
positive 2
hospital 2
live 2
call 2
calm 2
"#ologycb" 5
injury 2
tell 2
holy 2
haha 2
award 3
hurt 2
sore 2
broke 2
baby 2
glad 2
worst 2
join 1
niggas 2
car 2
sucks 2
beautiful 3
crazy 2
embarrassing 2
awesome 4
share 3
fuck 2
sought 2
rape 3
native 1
awkward 2
breaking 0
amazing 3
wrong 2
abuse 3
mad 2
coming 2
suck 2
tall 2
jolie 3
cute 2
help 2
office 2
hell 2
perfect 2
thank 2
pray 2
beyonce 2
criminal 2
"#breaking" 0
dad 2
hurting 2
crash 2
yo 2
moms 2
qualified 1
oxford 2
killed 0
"#gosnell" 0
arrested 0
found 0
luck 2
hard 2
yeah 2
books 5
gon 2
missed 2
god 2
waive 0
cancels 2
looking 5
seriously 2
health 3
smh 2
cause 2
ass 2
story 3
free 2
worse 2
grandma 2
care 3
scary 2
florida 3
days 0
winner 3
abortion 0
dont 2
feel 2
powerful 3
embarrassed 2
bitch 2
miss 2
tomorrow 2
little 2
top 3
attack 2
wonderful 2
friend 2
murder 0
serve 0
ridiculous 0
doctors 2
loved 2
anxiety 2
lmao 2
double 3
charges 0
sentenced 0
sad 2
sentences 0
philly 0
afraid 2
congrats 2
note 2
whoology 5
play 2
pain 2
mother 2
knee 2
doc 0
medical 3
proud 2
left 2
ugh 2
bomb 2
fine 2
agrees 0
aint 2
orleans 2
inspiring 3
trying 2
dick 2
penalty 0
pretty 2
hope 2
dm 5
horrible 2
stop 2
da 2
ones 2
dr 0
cry 2
worried 2
bad 2
stupid 2
throwing 2
dumb 2
kermit 0
wow 3
please 2
finger 2
hopefully 2
terms 0
missing 2
wo 0
weak 2
killing 0
blame 3
spared 0
cut 0
wtf 2
hurts 2
news 0
pissed 2
improve 3
accident 2
joke 2
ill 2
admit 2
liked 0
cancer 3
drunk 2
sweet 2
tuesday 2
"#abortion" 0
article 3
cares 3
convicted 0
pa 0
damn 2
lovely 2
bullshit 2
life 0
"#news" 0
fire 2
cunt 2
look 2
excited 2
ugly 2
near 2
hahaha 2
fun 2
taking 2
theres 2
hoping 2
blah 2
cant 2
im 2
id 2
worry 2
funny 2
emergency 3
pay 2
babies 0
avoids 0
evil 0
alert 3
student 2
fucked 2
murdering 0
center 3
pennsylvania 0
severe 2
miscellany 5
bodies 2
charged 0
mom 2
cried 2
sentence 0
fantastic 2
kill 2
thanks 2
human 5
death 0
day 2
crying 2
prison 0
save 3
ca 2
real 2
victims 2
kills 2
couple 2
gonna 2
birth 2
belgium 2
jolies 3
lost 2
poor 2
nigga 2
deal 0
people 2
fucking 2
twitter 2
dead 2
born 0
dear 1
gosnell 0
mastectomy 3
decision 3
fox 0
firstdegree 0
provider 0
cnn 0
bc 2
lmfao 2
broken 2
crap 2
super 2
getting 2
island 4
favorite 2
swear 2
illegal 0
wanna 2
idc 2
seeing 2
whats 2
childrens 2
google 0
support 2
philadelphia 0
lol 2
stuck 2
bored 2
scared 2
happy 2
head 2
bitches 2
ha 2
true 2
info 5
fraud 2
wish 2
ur 2
dirty 2
infants 0
ai 2
"#gameinsight" 4
ap 0
annoying 2
shit 2
sick 2
nice 2
scored 1
football 2
june 2
chance 5
died 2
� 0
phone 2
time 2
avoid 0
waives 0
postit 2
asu 2
valentina 2
play2give 2
officials 2
charity 2
oped 3
sl 5
literatedescriptive 5
caroline 5
