id,postal_code,region,province,province_code,city_type,latitude,longitude,country,admin_name2,admin_code2,admin_name3,admin_code3,accuracy
1,34050,FPO,,AA,D,41.0375,-111.6789,US,Erie,029,,,
2,34034,APO,,AA,D,33.0364,-82.2493,US,Dillon,033,,,
3,99553,Akutan,Alaska,AK,D,54.143,-165.7854,US,'Aleutians East',013,,,
4,99571,'Cold Bay',Alaska,AK,D,55.3976,-162.4206,US,'Aleutians East',013,,,
5,99583,'False Pass',Alaska,AK,D,54.841,-163.4368,US,'Aleutians East',013,,,
6,99612,'King Cove',Alaska,AK,D,55.0628,-162.3056,US,'Aleutians East',013,,,
7,99661,'Sand Point',Alaska,AK,D,55.3192,-160.4914,US,'Aleutians East',013,,,
8,99546,Adak,Alaska,AK,D,51.88,-176.6581,US,Aleutians West (CA),016,,,
9,99547,Atka,Alaska,AK,D,52.1224,-174.4301,US,Aleutians West (CA),016,,,
10,99591,Saint George Island,Alaska,AK,D,56.5944,-169.6186,US,Aleutians West (CA),016,,,
11,99638,Nikolski,Alaska,AK,D,52.9883,-168.7884,US,Aleutians West (CA),016,,,
12,99660,Saint Paul Island,Alaska,AK,D,57.1842,-170.2764,US,Aleutians West (CA),016,,,
13,99685,Unalaska,Alaska,AK,D,53.8871,-166.5199,US,Aleutians West (CA),016,,,
14,99692,'Dutch Harbor',Alaska,AK,D,53.3628,-167.5107,US,Aleutians West (CA),016,,,
15,99501,Anchorage,Alaska,AK,D,61.2116,-149.8761,US,'Anchorage Municipality',020,,,
16,99502,Anchorage,Alaska,AK,D,61.1661,-149.96,US,'Anchorage Municipality',020,,,
17,99503,Anchorage,Alaska,AK,D,61.19,-149.8938,US,'Anchorage Municipality',020,,,
18,99504,Anchorage,Alaska,AK,D,61.2037,-149.7447,US,'Anchorage Municipality',020,,,
19,99505,'Fort Richardson',Alaska,AK,D,61.2753,-149.6755,US,'Anchorage Municipality',020,,,
20,99506,'Elmendorf Afb',Alaska,AK,D,61.2515,-149.8127,US,'Anchorage Municipality',020,,,
21,99507,Anchorage,Alaska,AK,D,61.1535,-149.8289,US,'Anchorage Municipality',020,,,
22,99508,Anchorage,Alaska,AK,D,61.206,-149.8101,US,'Anchorage Municipality',020,,,
23,99509,Anchorage,Alaska,AK,D,61.1089,-149.4403,US,'Anchorage Municipality',020,,,
24,99510,Anchorage,Alaska,AK,D,61.1446,-149.8784,US,'Anchorage Municipality',020,,,
25,99511,Anchorage,Alaska,AK,D,61.0683,-149.8005,US,'Anchorage Municipality',020,,,
26,99512,Anchorage,Alaska,AK,D,61.204,-149.8084,US,'Anchorage Municipality',020,,,
27,99513,Anchorage,Alaska,AK,D,61.2149,-149.8862,US,'Anchorage Municipality',020,,,
28,99514,Anchorage,Alaska,AK,D,61.1089,-149.4403,US,'Anchorage Municipality',020,,,
29,99515,Anchorage,Alaska,AK,D,61.1194,-149.8974,US,'Anchorage Municipality',020,,,
30,99516,Anchorage,Alaska,AK,D,61.1054,-149.78,US,'Anchorage Municipality',020,,,
31,99517,Anchorage,Alaska,AK,D,61.1901,-149.9361,US,'Anchorage Municipality',020,,,
32,99518,Anchorage,Alaska,AK,D,61.1549,-149.8866,US,'Anchorage Municipality',020,,,
33,99519,Anchorage,Alaska,AK,D,61.1089,-149.4403,US,'Anchorage Municipality',020,,,
34,99520,Anchorage,Alaska,AK,D,61.1089,-149.4403,US,'Anchorage Municipality',020,,,
