,tweets,words,
8, THE HOSPITAL NEEDS SOME DAMN WIFI OK BYE,hospital damn wifi ok bye,can'tsay
24, Seen a thick ass nurse n the hospital...woah big sean vc...,seen thick ass nurse hospitalwoah sean vc,can'tsay
26, Love a Doctor http://t.co/TAqrKcmJLF,love doctor,can'tsay
30, Photo: racelley: http://t.co/K9H7t34qtb I think this was an... http://t.co/pXMiwAl1zR,photo racelley,can'tsay
33, @ConceptKerrie \right,rightwell feel crap stomach feels weirdi doctor comes insorry,can'tsay
34," Yesterday, the hospital doctors told Asher was one of the sickest babies they had seen with… http://t.co/arCggZ3xD5",yesterday hospital doctors told asher sickest babies seen …,can'tsay
38, Spending the rest of my day in the hospital is the last thing I wanna have to do,spending rest day hospital wanna,can'tsay
54, Presence St. Mary's Hospital Nursing Scholarship Awarded to Amy Overacker http://t.co/mRuv1CKqiw,presence st marys hospital nursing scholarship awarded amy overacker,can'tsay
60," @MamaBennie Also, don't they get medical bills paid for too? If you're extremely attached to your babies in-utero, I wouldn't recommend it.",medical bills paid extremely attached babies inutero recommend,can'tsay
66," Official cause of death of Zoa White was blunt-force injuries, according to medical examiner.",official cause death zoa white bluntforce injuries according medical examiner,can'tsay
81, Feeling to catch a train to Queens Medical Hospital in Nottingham to wait outside for a certain ward manager.... Cunting cunt,feeling catch train queens medical hospital nottingham wait outside ward manager cunting cunt,can'tsay
95, I'm watching Doctor Who (2053 are watching) http://t.co/A7mAMeZoLi #GetGlue @bbcdoctorwho,watching doctor watching #getglue,can'tsay
99," @mcjantje will DM in morning if I haven't already napalmed hospital. (Note to twitter nazis that was hyperbole) place <tweepy.models.Place object at 0x0291F5D0> coordinates {u'type': u'Point', u'coordinates': [-2.54164266, 52.71416092]}",dm morning napalmed hospital note twitter nazis hyperbole,can'tsay
115, Steven Moffat on 'Doctor Who' future: 'Series 8 definitely confirmed' http://t.co/8hbOwDOx3a via @digitalspyus,steven moffat doctor future series definitely confirmed via,can'tsay
116, And the daleks don't kill the doctor. They don't try to kill the doctor. They ask for his help,daleks kill doctor try kill doctor help,can'tsay
117, Tweeting from work #doctor #sobusy #justkidding #oncalltomorrow #laced,tweeting #doctor #sobusy #justkidding #oncalltomorrow #laced,can'tsay
130," I forget that my doctor has other patients to tend too, and it INFURIATES me! You're my doctor! CHEATER! #painmeds #ilovethesethings",forget doctor patients tend infuriates doctor cheater #painmeds #ilovethesethings,can'tsay
131, Eye doctor. Woo.,eye doctor woo,can'tsay
142," Even better, anyone know where the Doctor is?",doctor,can'tsay
176, I've been to the hospital more times this week than in 3 years.,hospital times week,can'tsay
182," Grandmoms going to the hospital smh, always something going on..",grandmoms hospital smh,can'tsay
188, Either I had a stroke in the middle of it or the last Doctor Who episode didn’t make a lot of sense.,stroke middle doctor episode didn’ lot sense,can'tsay
204," Izzi: I just think it'd be easier if... Nazi: \Easy\"" is not in your job description. You're a doctor!""",izzi itd easier nazi easy job description doctor,can'tsay
206, @highwayunicorns or ask you personal medical questions,personal medical questions,can'tsay
228, #Job Post:research - Medical Librarian - http://t.co/uUx7GEIfix #parttime,#job postresearch medical librarian #parttime,can'tsay
234, Working at the hospital was amazing :),hospital amazing,can'tsay
242," \How da heel did we start from the bottom and end up in a mental hospital?\"" @kennedy1313""",da heel start bottom mental hospital,can'tsay
247," Our friends at Centerpoint Medical Center have been a great help to us. Today, we strategized with Emily, the... http://t.co/VEBtHSZSWH",friends centerpoint medical center help strategized emily,can'tsay
259," Man listen its old in this hospital, Pam taking forever and I'm hungry, I'm about to dip.",listen hospital pam taking forever hungry dip,can'tsay
269, a hospital #COYG,hospital #coyg,can'tsay
276, Been by my daddy's side in the hospital  since 8 a.m,daddys hospital,can'tsay
277, If you're not going into the medical field or learning a trade college is bullshit! #ThisThatReal,medical field learning trade college bullshit #thisthatreal,can'tsay
308," Top story: My Medical Choice http://t.co/yNVP6cW0v5, see more http://t.co/KNuOXo9KdK",top story medical choice,can'tsay
320," Gunmen open fire on liquor stores in Iraq, 11 dead: Iraqi police and hospital officials say at least 11 people... http://t.co/szZvzHlhWp place <tweepy.models.Place object at 0x0291F230> coordinates {u'type': u'Point', u'coordinates': [-87.62626724, 41.88804564]}",gunmen fire liquor stores iraq dead iraqi police hospital officials people,can'tsay
323, Cats got @JonKarl tongue?? No #Benghazi questions at the presser today. Why did @ABC doctor the WH's emails? http://t.co/atZ1XB7ED2 …  #ctl,cats tongue #benghazi questions presser doctor whs emails … #ctl,can'tsay
342," Freshly Caught: My Medical Choice http://t.co/sIcDxIZL6j, see more http://t.co/w8469TKxMR",freshly caught medical choice,can'tsay
351," Top story: My Medical Choice http://t.co/xSyfbOHYxB, see more http://t.co/YxnC6jTnUN",top story medical choice,can'tsay
354, Hospital employee said I look like @ibnabeeomar. Not sure if I should be complimented or insulted.,hospital employee look complimented insulted,can'tsay
361, @_dopedaneille what was I mad about? Oh yeah that stupid doctor said I had cancer,mad oh yeah stupid doctor cancer,can'tsay
364, How To Clean - Property GLO Janitorial Service Talking Garbage Blog http://t.co/PB4IuKqTLM,clean property glo janitorial service talking garbage blog,can'tsay
366, I was at the doctor from 10 to 2????,doctor,can'tsay
376," \@naeemul_haque: After the speech from his hospital bed Ik singing Isakhelvis song.\"" Omg is it true?:D""",speech hospital bed ik singing isakhelvis song omg trued,can'tsay
381, @maywire doctor who is a kids show that a lot of adults happen to enjoy.,doctor kids lot adults happen enjoy,can'tsay
383," Top story: My Medical Choice http://t.co/xRsVmK6rvg, see more http://t.co/uyb4GzXnF4",top story medical choice,can'tsay
388, Today explained to a medical secretary who works in NHS hospital that NHS is in advanced stages of privatisation &amp; about @NHAparty,explained medical secretary nhs hospital nhs advanced stages privatisation,can'tsay
391, Libya: UN Condemns Deadly Hospital Bombing http://t.co/sjfB90CDDM,libya un condemns deadly hospital bombing,can'tsay
408," We're hiring Medical Sales Representatives for a prestigious client (Sarasota, FL) https://t.co/fD5aS0Zu83",hiring medical sales representatives prestigious client sarasota fl httpstcofd5as0zu83,can'tsay
409, Three victims remained in critical condition at a hospital Tuesday as New Orleans officials sought a teenage suspect in the Mother's Day ..,victims remained critical condition hospital tuesday orleans officials sought teenage suspect mothers day,can'tsay
413, ok i really don't want to show my doctor my tit.,ok doctor tit,can'tsay
436," @HolyDalek  Dalek says,\You are a friend of the Doctor",dalek saysyou friend doctor mercy river dr river song check records,can'tsay
442, At the doctor,doctor,can'tsay
481, This hospital smells of death..,hospital smells death,can'tsay
500, RT @karendawber: #NurChat trying to make the most out of a hospital environment to provide dementia friendly care #NurChat,#nurchat trying hospital environment provide dementia friendly care #nurchat,can'tsay
507, Escaped the hospital and went to my girlfriend's @KikiJeromeGH mom's place. Michael found me and barged in. She accused Kiki of taking,escaped hospital girlfriends moms michael found barged accused kiki taking,can'tsay
509," Doctor Clapis in versione \Brazzers\""... http://t.co/7dVoPLjaC1""",doctor clapis versione brazzers,can'tsay
521, Eye doctor..,eye doctor,can'tsay
523, Happy Hospital Week! http://t.co/zCN6mIIYHN,happy hospital week,can'tsay
532, Me: andys in hospital you know. Dad: oooo is he getting a facelift or his stomach reduced. OMG my dad is funny @GeorgeFinner,andys hospital dad oooo getting facelift stomach reduced omg dad funny,can'tsay
558, never really understood the whole doctor who obsession,understood doctor obsession,can'tsay
576," #NowWatching Doctor Who (2005) 4x04 \The Sontaran Stratagem (1)\"" http://t.co/vlfj7cAYMW #trakt""",#nowwatching doctor sontaran stratagem #trakt,can'tsay
583, @Baudet03 my throat is really bothering me and my doctor won't see me today,throat bothering doctor wo,can'tsay
596, Best part about being home? Now I can catch up on Doctor Who. #sixepisodesbehind #marathon #Whovian,home catch doctor #sixepisodesbehind #marathon #whovian,can'tsay
603," @obahabri not really, my parents didn't want me to become a doctor. My dad was even upset for a while when I went to med school...",parents doctor dad upset med school,can'tsay
613," @JC_thats_me @capnhannah21 Yeah, I don't think even The Doctor could make this look good. #80s http://t.co/HEIWizTFO1",yeah doctor look #80s,can'tsay
617, CAYUGA MEDICAL CENTER -  http://t.co/gOBUrmOxos #nowplaying #listenlive,cayuga medical center #nowplaying #listenlive,can'tsay
641, What. The. Fuck. 3 days in the hospital?!? #badluckbrianna #fml,fuck days hospital #badluckbrianna #fml,can'tsay
643, @SoiFigure what did I tell you...go see a doctor this can't keep happening. It's not healthy.,tell yougo doctor ca happening healthy,can'tsay
648," \little mix is ugly\"" uhm NO. They're freaking beautiful",little mix ugly uhm freaking beautiful stupid eye doctor,can'tsay
656, Some tucking dick tweeted me the doctor who spoilers.,tucking dick tweeted doctor spoilers,can'tsay
661, Fastest doctor's appointment ever! Love my doctor. Even though he sometimes speaks too fast that I have trouble understanding :/,fastest doctors appointment love doctor sometimes speaks fast trouble understanding,can'tsay
674, @laureenwhaleey you need to the doctor,doctor,can'tsay
679, if i drank a shot for every time i saw a tweet about eurovision i'd be in hospital getting my stomach pumped already,drank shot time eurovision id hospital getting stomach pumped,can'tsay
714," Top story: My Medical Choice http://t.co/FViWQWTmQj, see more http://t.co/yv8q1TmGtH",top story medical choice,can'tsay
737, I liked a @YouTube video http://t.co/h5vExyGTJh Doctor P &amp; Flux Pavillion - Circus Records Mix 09 music part 1,liked video doctor flux pavillion circus records mix music,can'tsay
740, I favorited a @YouTube video http://t.co/h5vExyGTJh Doctor P &amp; Flux Pavillion - Circus Records Mix 09 music part 1,favorited video doctor flux pavillion circus records mix music,can'tsay
744," Oh ffs, the neo-prohibitionists are at it again. This must be stopped: http://t.co/9RQAbxSHTM",oh ffs neoprohibitionists stopped,can'tsay
763, New: Hospital Employed Practice - Mid-Sized Hospital Based Cardiology Practice Recruiting General Cardi... http://t.co/WKJ5zVxePt,hospital employed practice midsized hospital based cardiology practice recruiting cardi,can'tsay
770, New: Hospital Employed Practice - Mid-Sized Hospital Based Cardiology Practice Recruiting General Cardi... http://t.co/dRfTjz6qXR,hospital employed practice midsized hospital based cardiology practice recruiting cardi,can'tsay
777, New: Hospital Employed Practice - Mid-Sized Hospital Based Cardiology Practice Recruiting General Cardi... http://t.co/EAYP6baydD,hospital employed practice midsized hospital based cardiology practice recruiting cardi,can'tsay
781, At the Doctor hopefully he tells me I can start putting on my cleats and start running,doctor hopefully tells start putting cleats start running,can'tsay
785, I can't wait to go to the hospital to see my Step Dad,ca wait hospital step dad,can'tsay
795, the next day i went to the doctor (I was still on parents insurance) and they did all these wacky tests,day doctor parents insurance wacky tests,can'tsay
805," Talk To My Heart Doctor Today\ Got Some #BadNews""",talk heart doctor #badnews,can'tsay
808," NIGHTMARE IN SILVER - Lindalee's Doctor Who Review (S7, Ep.12) - YouTube http://t.co/f6TP7QKJvQ",nightmare silver lindalees doctor review s7 ep12 youtube,can'tsay
810," I'm at Baylor Medical Center at Trophy Club (Trophy Club, TX) http://t.co/uBu00YgQuz place <tweepy.models.Place object at 0x0291F230> coordinates {u'type': u'Point', u'coordinates': [-97.17536151, 32.98847443]}",baylor medical center trophy club trophy club tx,can'tsay
822, I pray I get this job at the hospital.,pray job hospital,can'tsay
824, I reckon if I cry to the doctor enough I'll get a boob job on the NHS,reckon cry doctor ill boob job nhs,can'tsay
827, Hail the doctor. Savior of the cybermen.,hail doctor savior cybermen,can'tsay
841, @PreMedETSU lol. It's a very long story. @healthyheart23 knows it~ It's pretty funny. I had to do community service at a medical facility.,lol story pretty funny community service medical facility,can'tsay
848," 3 and Im 3 in. Sweet. Shitty fucking day already. Tired of all the bullshit I have to deal with from hospital visits,to girls,to no money.",im sweet shitty fucking day tired bullshit deal hospital visitsto girlsto money,can'tsay
854, Very humbling experience here at the U of M Amplatz Children's Hospital. #thankful,humbling experience amplatz childrens hospital #thankful,can'tsay
864, Is everyone at the doctor or,doctor,can'tsay
878," Now that was one crazy day in the hospital! place <tweepy.models.Place object at 0x0291F7F0> coordinates {u'type': u'Point', u'coordinates': [-85.91103137, 34.46944086]}",crazy day hospital,can'tsay
924," skype call with cabs every night i'm not going out if she can, classic doctor who and working on my doctor who fanfics as much as possible",skype call cabs night classic doctor doctor fanfics,can'tsay
925," @bilbocroft Sounds like she took a fall, flat on her face. She's been in hospital. Poor thing.",sounds fall flat shes hospital poor,can'tsay
933, @embracelaluna @meimuse *starts singing the doctor who theme*,starts singing doctor theme,can'tsay
