V1,
"@ViewHipHopPosts Check out Mike-Dash-E's new song #Mula prod. By @SFCalA off #HCR  https://t.co/wTndqMjS6s""",Medical
 ZOOM Teeth Whitening: A Revolutionary #TeethWhitening Treatment. Find out how it works: http://t.co/gQMWMIm07S #Dental #California,Medical
" ZEUS Zirconia Restoratives, available in 3 tiers of products, are ideal for treating a wide range of #dental patients:http://t.co/1K2Hmtn7CN",Medical
 Yupp...I can officially save some lives #CPR #tookforlife!,Medical
" yup RT @tonykchoi: @samala @Antology 1. #FamilyUnity 2. #LGBT 3. Financial aid, 4. #Healthcare were all left out. #API4CIR #18millionhearts",Medical
 Yum! RT @FitChefKaty A little #CPR bling and @heart_south Association breakfast at my place!  Looking forward to partnering… (cont…,Medical
 You're my impossible girl - #doctor #doctorwho #whovian #FanGirling,Medical
 Your support made hospice hike success http://t.co/WTIvEow75y  - #hospice,Medical
" Your strength is in your advocates, APA's approach to eligibility falls right in line with our #hospital's goal - Director of Patient Acess",Medical
 Your SS# can be bought online for .50 cents but your Medical Records are going for $14-$24! Why?   http://t.co/4VeUFMxZfV #EMR #EHR #WSJ #AP,Medical
 Your spouse may not like the #ACA: http://t.co/EXufAS13lU | #HR #Obamacare #Healthcare #HealthCareReform,Medical
 Your Smile is Our Passion #bah #bahrain #manama #GCC #orthodontics #braces #teeth #smile #dentist… http://t.co/ljgZ4S2PNR,Medical
 Your Smile is Our Passion #bah #bahrain #manama #GCC #orthodontics #braces #teeth #smile #dentist #dental #happy... http://t.co/2bqlrazPin,Medical
" Your questions about #Botox, answered: http://t.co/93XvdVOSax via @Allure_magazine  #Vancouver",Medical
 Your patients can now track their own #healthcare spending with our new free tool. Learn more on @TechCrunch: http://t.co/S0DIFsACDT,Medical
" Your mouth is more than just a pretty smile.  It's also a gateway to your overall health. Brush, Floss &amp; See the #Dentist often.",Medical
" Your ER is the front door to your #hospital, and visits jumped 17% from 2003-09 http://t.co/d14Q20E88h RT @medhostinc",Medical
" Your being ridiculous ? :\\""D RT\""@Charlz_sa: \"" #concussion \""\""""",Medical
 Your #CRO Just Acquired Another CRO Now What http://t.co/EEhbkbw9lJ via @sharethis #pharma #biotech,Medical
 You'll Never Again Be so Unburdened; Do Something Bold http://t.co/VNpbxWySHW #futuremed,Medical
 You would think after living in the same house for 17 years @emmorierroy would figure out how to use her stairs #Hospital,Medical
 you were telling everyone you were at dennys... mcdonaldss... what else? you know where you were #hospital,Medical
 You think the #dentist is the #worst. At least they don't make you stare into the #light of a #hundred #synchrotrons. Off to the #eyedoctor.,Medical
 YOU SHOULD FEEL AS IF OUR HOUSE IS ON FIRE. THE LAWLESS HAVE TAKEN OVER.  #TSA #POLICESTATE #NWO #TRANNY #BIOMETRICS #MONSANTO #GMO #FEMA!,Medical
" You saw \live\"" tweets yesterday. Here's summary of 1st oral arguments a/b #HHS mandate before 7th Circuit: http://t.co/DApkNUeYOa""",Medical
 You MUST follow @IntervalCrew if you are in #healthcare #marketing AND listen to their #podcast: http://t.co/xemp4ON8s9 #PieceDeResistance,Medical
 'You make me feel comfortable and cared for' - best praise I've had all well from a patient #nursing #healthcare,Medical
 You know you're at a good hospital when they serve everyone freshly popped popcorn for free. #healthcare,Medical
 You know your face is numb when #uneven #tongue #numb #mouth #teeth #dentist #girl #teen… http://t.co/seYTxMhh42,Medical
 You know you come to the hospital too much when the nurses don't even ask you who you are anymore #treatment #hospital #bad,Medical
" You know what would be a great way to celebrate #EMS Week, move EMS from DOT and place it under HHS where it belongs.",Medical
 You know biz is done for day when talk revolves around #darrylshouse. #hmenews,Medical
" You just got an #FDA warning letter, what should you do next http://t.co/NIlxeBdzZ0 #biotech #pharma",Medical
 You getting involved in #Wigwednesday @JessieJ all for a good cause #cancersupport x,Medical
 You don't have to be a #professional #athlete to visit a #sportsmedicine #doctor! Read why here. http://t.co/wMhZqd17Lc,Medical
 You don't have to be a #professional #athlete to visit a #sportsmedicine #doctor! Read why here. http://t.co/tqwtx9Fw67,Medical
 You don't have to be a #professional #athlete to visit a #sportsmedicine #doctor! Read why here. http://t.co/svKI1AqC5R,Medical
 You don't have to be a #professional #athlete to visit a #sportsmedicine #doctor! Read why here. http://t.co/P3POt3VX9Q,Medical
 You don't have to be a #professional #athlete to visit a #sportsmedicine #doctor! Read why here. http://t.co/Imd9F5UpfS,Medical
 You don't have to be a #professional #athlete to visit a #sportsmedicine #doctor! Read why here. http://t.co/ib9G9Qp8pM,Medical
 You don't have to be a #professional #athlete to visit a #sportsmedicine #doctor! Read why here. http://t.co/9snsp0S5yj,Medical
 You don't have to be a #professional #athlete to visit a #sportsmedicine #doctor! Read why here. http://t.co/9MiPz1uKSY,Medical
 You could slap me and I wouldn't feel it... #dentist #numb #demlips http://t.co/zD4mGkUT5V,Medical
 you can't make #patients do anything- Years of experience have proven this. Education and coaching will improve #adherence @aribertdeckers,Medical
 You can Make an Impact on research to cure hearing loss - find out how http://t.co/wIBiIQtO5W  #BHSM,Medical
 You can look 'normal' &amp; be fighting in your mind a battle that can't be won without help. I did. #edrecovery #mentalhealth #endstigma,Medical
 You are your data: how #healthcare organizations will use your grocery bill...,Medical
 YOU are our #1 priority. That’s why we strive to provide a variety of options for affordable group #healthcare in NV. http://t.co/OBBNHO4g72,Medical
 You are not alone if you are experiencing back pain during your #pregnancy! Find out how #chiropractic can help! http://t.co/sxzbGQrGf7,Medical
 You are awesome @NaheedD @herehome I hope you learned a lot from the data. Looking forward to hearing when you share findings. #cdnhealth,Medical
" You and your parents probably want to age in place, right? We have some tips &amp; advice on #homecare costs: http://t.co/eA0NennD63 #seniors",Medical
" Yoga Day Fredericton June 15:  Try out a  class, make a donation. Proceeds to #Hospice Fredericton! See schedule http://t.co/sNwBJYWQWO",Medical
" Yikes! RT @kaczynski I used to work at a hospital, and I always found this display profound http://t.co/f4NKquwlxi #GetFit",Medical
 Yet Another Piece Of Evidence That Obamacare Is Already Positively Impacting The Health Sector http://t.co/oUzZkXjcyr #ACA #tcot #HCR #Tpp,Medical
 Yet another #GiftOfLife,Medical
 Yester-fuckedup-day. #inpain #dentist #braces #fuckyoudoc #hurtsalot #canteat #onlysoup #fml http://t.co/cIQRyZZkF8,Medical
 YES! We are 100% #glutenfree and #vegan! http://t.co/Qre63zrenx,Medical
