firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/laurencerosen/status/418176275811811328,laurencerosen,"Contrary to popular belief amongst overseas viewers, Australia is more sophisticated than just Sydney... #gripe",7.645954,http://twitter.com/LaurenceRosen/status/418176275811811328,http://twitter.com/laurencerosen
01/01/14,http://twitter.com/massielferreras/status/418214400647241728,massielferreras,#cousin #31dic #gripe http://t.co/XWf34ijli4,11.183203,http://twitter.com/MassielFerreras/status/418214400647241728,http://twitter.com/massielferreras
01/01/14,http://twitter.com/wezg/status/418297146954100736,wezg,@flapsandwich Flappy New Year! - You publishing that article to your blog or what? Or are you having a #gripe ???,10.138768,http://twitter.com/WezG/status/418297146954100736,http://twitter.com/wezg
01/01/14,http://twitter.com/christianshow10/status/418357234129571841,christianshow10,"@christianshow10   óóóó
#gripe danada",7.969631,http://twitter.com/christianshow10/status/418357234129571841,http://twitter.com/christianshow10
01/01/14,http://twitter.com/jubjubtub/status/418437728653430784,jubjubtub,"Another #gripe: for the love of god, why doesn't #apple notes have a place to see deleted notes or at least a confirmation b4 del? @AppStore",7.215642,http://twitter.com/JubJubTub/status/418437728653430784,http://twitter.com/jubjubtub
01/02/14,http://twitter.com/themendezl/status/418585301741993984,themendezl,Let me introduce you to my best friend for the next 8 days!!! Lol 😞😪😖😷 #sickashell #gripe http://t.co/eRgJUc7lvy,7.9722085,http://twitter.com/themendezl/status/418585301741993984,http://twitter.com/themendezl
01/02/14,http://twitter.com/love_bernasconi/status/418609275951673344,sheecimartinez,#next #bayaspirinaC #gripe #podrida :( #fea #noche http://t.co/BV0ZrE6SsP,7.089167,http://twitter.com/Love_Bernasconi/status/418609275951673344,http://twitter.com/sheecimartinez
01/02/14,http://twitter.com/m_p_p/status/418659465508823040,m_p_p,First *long* work day of the year already endured #gripe,8.36261,http://twitter.com/m_p_p/status/418659465508823040,http://twitter.com/m_p_p
01/02/14,http://twitter.com/m_p_p/status/418660035300818944,m_p_p,"I say ""endured"" because it's so damn hard to concentrate and keep patient with ""hell's itch"" persisting #gripe",7.520506,http://twitter.com/m_p_p/status/418660035300818944,http://twitter.com/m_p_p
01/02/14,http://twitter.com/handsrobsten/status/418740713229017088,pobrejubs,eu to rouca :\ #gripe,8.720856,http://twitter.com/HandsRobsten/status/418740713229017088,http://twitter.com/pobrejubs
01/02/14,http://twitter.com/liviii/status/418764033034948608,liviii,#gripe #colica #morrendo,8.109959,http://twitter.com/Liviii/status/418764033034948608,http://twitter.com/liviii
01/02/14,http://twitter.com/nonnonmonami/status/418778094355611648,nonnonmonami,If your child has 'just turned 4' THEY ARE 4! Unless they're the child of Doctor Who you are going to pay #morons #gripe,7.542831,http://twitter.com/nonnonmonami/status/418778094355611648,http://twitter.com/nonnonmonami
01/02/14,http://twitter.com/yesitejeda05/status/418800664504840192,yesitejeda05,TENGO unA #GRIPE DEL dIACHE....jesu...:P,8.11747,http://twitter.com/yesitejeda05/status/418800664504840192,http://twitter.com/yesitejeda05
01/02/14,http://twitter.com/rosiris_123/status/418820435518570497,rosiris_123,#GRIPE Mi Garganta  Dios :(,7.882248,http://twitter.com/rosiris_123/status/418820435518570497,http://twitter.com/rosiris_123
01/02/14,http://twitter.com/franchescacuev/status/418826703729737728,franchescacuev,#gripe On,8.70651,http://twitter.com/franchescacuev/status/418826703729737728,http://twitter.com/franchescacuev
01/02/14,http://twitter.com/califmoon/status/418833158583644160,califmoon,Its #010214 heard my first #gripe already #justsmiling us humans mannn. #smilelaugh,7.0510306,http://twitter.com/CAlifmoon/status/418833158583644160,http://twitter.com/califmoon
01/02/14,http://twitter.com/vinny_lombardi/status/418842531838050306,vinny_lombardi,"#lookdodia muiita #neve, so saindo pra comprar remedio pq a #gripe atacou!!!!!
 Lots of #snow, feeling… http://t.co/tAnQd8mlEB",7.0510306,http://twitter.com/Vinny_Lombardi/status/418842531838050306,http://twitter.com/vinny_lombardi
01/02/14,http://twitter.com/_powkau/status/418872688136830976,_powkau,Ai! Tô morrendo. #gripe,8.692267,http://twitter.com/_powkau/status/418872688136830976,http://twitter.com/_powkau
01/02/14,http://twitter.com/_powkau/status/418872994958540800,_powkau,Ai! Tô morrendo. #gripe.,8.692188,http://twitter.com/_powkau/status/418872994958540800,http://twitter.com/_powkau
01/03/14,http://twitter.com/jeffwalstrom/status/418894885513887744,jeffwalstrom,"Too much ""a competitor has this feature lets build it going on"".  #gripe",7.971886,http://twitter.com/JeffWalstrom/status/418894885513887744,http://twitter.com/jeffwalstrom
01/03/14,http://twitter.com/copadave/status/418912477464629249,dmcrandall,"@PhxTrafficAlert Can you let the traffic guys know that 347 &amp; Wild Horse Pass are not the same.  Queen Creek Rd &amp; 347 are, however.  #Gripe",6.8363347,http://twitter.com/CopaDave/status/418912477464629249,http://twitter.com/dmcrandall
01/03/14,http://twitter.com/emjeeadams/status/419189483763167232,emjeeadams,@suttontrust - When will you realise a child being 'privileged' is not intrinsically linked to a parents university attendance. #Gripe,6.9157906,http://twitter.com/EmjeeAdams/status/419189483763167232,http://twitter.com/emjeeadams
01/04/14,http://twitter.com/awilka06/status/419285802548736000,awilka06,So sick !!! :( #Sick #Gripe I need my bed http://t.co/7YCjl1nkcL,11.058785,http://twitter.com/Awilka06/status/419285802548736000,http://twitter.com/awilka06
01/04/14,http://twitter.com/jager_sb3/status/419315191575494656,jager_sb3,#Gripe te odioooooo!!!,8.485099,http://twitter.com/Jager_SB3/status/419315191575494656,http://twitter.com/jager_sb3
01/04/14,http://twitter.com/rutakingthep/status/419434801889034240,rutakingthep,@Simon_Kelner @BT @BTCare And their investment strategy in Broadband discriminates against rural locations !! #gripe,7.008726,http://twitter.com/rutakingthep/status/419434801889034240,http://twitter.com/rutakingthep
01/04/14,http://twitter.com/ambarsuarezd/status/419578688402116608,ambarsuarezd,#musica #camita #gripe now :/,8.045149,http://twitter.com/Ambarsuarezd/status/419578688402116608,http://twitter.com/ambarsuarezd
01/05/14,http://twitter.com/joselynemi/status/419632845561155584,joselynemi,#SaturdayNight #Gripe #Camita #LosPicapiedras #Tranqui,7.4359603,http://twitter.com/JoselynEmi/status/419632845561155584,http://twitter.com/joselynemi
01/05/14,http://twitter.com/sanchez_delsy/status/419638206532169728,sanchez_delsy,Me arden las ñaticas.... :/ #gripe #sick #down,7.557073,http://twitter.com/sanchez_delsy/status/419638206532169728,http://twitter.com/sanchez_delsy
01/05/14,http://twitter.com/mira_chacha/status/419721632525996032,mira_chacha,AHHA' FUCK' #GRIPE :/,8.711331,http://twitter.com/MIRA_CHACHA/status/419721632525996032,http://twitter.com/mira_chacha
01/05/14,http://twitter.com/gaby_rebelde4ev/status/419855832269205504,gaby_rebelde4ev,To dodói :( #doente #gripe #odeioisso #instalike #instagood #instagirl http://t.co/3fCcki8fL3,6.9086676,http://twitter.com/gaby_rebelde4Ev/status/419855832269205504,http://twitter.com/gaby_rebelde4ev
