firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/asco/status/418450421745987584,asco,Follow #GI14 Gastrointestinal Symposium news: http://t.co/2OMeoXlhnd @AmerGastroAssn @ASTRO_org @SocSurgOnc2014 #esocsm #pancsm #stcsm,11.959369,http://twitter.com/ASCO/status/418450421745987584,http://twitter.com/asco
01/01/14,http://twitter.com/tryan70/status/418453674537398272,tryan70,RT @ASCO: Follow #GI14 Gastrointestinal Symposium news: http://t.co/2OMeoXlhnd @AmerGastroAssn @ASTRO_org @SocSurgOnc2014 #esocsm #pancsm #…,7.0269957,http://twitter.com/tryan70/status/418453674537398272,http://twitter.com/tryan70
01/01/14,http://twitter.com/pauldhmn/status/418456277660876800,pauldhmn,RT @ASCO: Follow #GI14 Gastrointestinal Symposium news: http://t.co/2OMeoXlhnd @AmerGastroAssn @ASTRO_org @SocSurgOnc2014 #esocsm #pancsm #…,7.0269957,http://twitter.com/Pauldhmn/status/418456277660876800,http://twitter.com/pauldhmn
01/03/14,http://twitter.com/abumrap/status/419171444225228800,abumrap,RT @ASCO: Why attend the GI Symposium? @The_BMC's Dr Kachnic explains http://t.co/iCZZuSwC68  #crcsm #pancsm #esocsm #stcsm #GI14,6.7757564,http://twitter.com/ABumRap/status/419171444225228800,http://twitter.com/abumrap
01/04/14,http://twitter.com/asco/status/419544636991221760,asco,Why attend the GI Symposium? @The_BMC's Dr Kachnic explains http://t.co/Pp9EX6APuR  #crcsm #pancsm #esocsm #stcsm #GI14,11.315956,http://twitter.com/ASCO/status/419544636991221760,http://twitter.com/asco
01/04/14,http://twitter.com/glopesmd/status/419567546569089024,glopesmd,RT @ASCO: Why attend the GI Symposium? @The_BMC's Dr Kachnic explains http://t.co/Pp9EX6APuR  #crcsm #pancsm #esocsm #stcsm #GI14,6.7628922,http://twitter.com/GlopesMd/status/419567546569089024,http://twitter.com/glopesmd
01/04/14,http://twitter.com/pmpconnect/status/419580549619924992,pmpconnect,RT @ASCO: Follow #GI14 Gastrointestinal Symposium news: http://t.co/2OMeoXlhnd @AmerGastroAssn @ASTRO_org @SocSurgOnc2014 #esocsm #pancsm #…,6.899726,http://twitter.com/PMPConnect/status/419580549619924992,http://twitter.com/pmpconnect
01/04/14,http://twitter.com/cathyengmd/status/419616758467538944,cathyengmd,RT @ASCO: Why attend the GI Symposium? @The_BMC's Dr Kachnic explains http://t.co/Pp9EX6APuR  #crcsm #pancsm #esocsm #stcsm #GI14,6.7628922,http://twitter.com/CathyEngMD/status/419616758467538944,http://twitter.com/cathyengmd
01/06/14,http://twitter.com/asco/status/420010659792056321,asco,Follow #GI14 Gastrointestinal Symposium news: http://t.co/2OMeoXlhnd @AmerGastroAssn @ASTRO_org @SocSurgOnc2014 #esocsm #pancsm #stcsm,11.05063,http://twitter.com/ASCO/status/420010659792056321,http://twitter.com/asco
01/06/14,http://twitter.com/aiims1742/status/420012984597872640,aiims1742,RT @ASCO: Follow #GI14 Gastrointestinal Symposium news: http://t.co/2OMeoXlhnd @AmerGastroAssn @ASTRO_org @SocSurgOnc2014 #esocsm #pancsm #…,6.9243455,http://twitter.com/Aiims1742/status/420012984597872640,http://twitter.com/aiims1742
01/06/14,http://twitter.com/asco/status/420034584655716352,asco,Follow #GI14 Gastrointestinal Symposium news: http://t.co/2OMeoXlhnd @AmerGastroAssn @ASTRO_org @SocSurgOnc #esocsm #pancsm #stcsm,12.006453,http://twitter.com/ASCO/status/420034584655716352,http://twitter.com/asco
01/06/14,http://twitter.com/socsurgonc/status/420199830632148992,socsurgonc,RT @ASCO: Follow #GI14 Gastrointestinal Symposium news: http://t.co/2OMeoXlhnd @AmerGastroAssn @ASTRO_org @SocSurgOnc #esocsm #pancsm #stcsm,6.7651625,http://twitter.com/SocSurgOnc/status/420199830632148992,http://twitter.com/socsurgonc
01/06/14,http://twitter.com/amergastroassn/status/420216113226866688,amergastroassn,RT @ASCO: Follow #GI14 Gastrointestinal Symposium news: http://t.co/2OMeoXlhnd @AmerGastroAssn @ASTRO_org @SocSurgOnc #esocsm #pancsm #stcsm,9.9386015,http://twitter.com/AmerGastroAssn/status/420216113226866688,http://twitter.com/amergastroassn
01/06/14,http://twitter.com/galenoweb/status/420217665261547520,galenoweb,RT @ASCO: Follow #GI14 Gastrointestinal Symposium news: http://t.co/2OMeoXlhnd @AmerGastroAssn @ASTRO_org @SocSurgOnc #esocsm #pancsm #stcsm,6.7651625,http://twitter.com/Galenoweb/status/420217665261547520,http://twitter.com/galenoweb
01/06/14,http://twitter.com/anavisgu/status/420219134996393985,anavisgu,“@ASCO: Follow #GI14 Gastrointestinal Symposium news: http://t.co/f3KEFujpm4 @AmerGastroAssn @ASTRO_org @SocSurgOnc #esocsm #pancsm #stcsm”,6.921283,http://twitter.com/anavisgu/status/420219134996393985,http://twitter.com/anavisgu
01/06/14,http://twitter.com/mdandersonnews/status/420326484600160257,mdandersonnews,How esophageal #cancer is diagnosed: http://t.co/Bk42pYchS4 #esocsm #endcancer,12.9759035,http://twitter.com/MDAndersonNews/status/420326484600160257,http://twitter.com/mdandersonnews
01/06/14,http://twitter.com/dhdrugstore/status/420326826838212608,dhdrugstore,RT @MDAndersonNews: How esophageal #cancer is diagnosed: http://t.co/Bk42pYchS4 #esocsm #endcancer,7.800197,http://twitter.com/DHDrugstore/status/420326826838212608,http://twitter.com/dhdrugstore
01/06/14,http://twitter.com/pratt_ed/status/420330675309649920,pratt_ed,RT @MDAndersonNews: How esophageal #cancer is diagnosed: http://t.co/Bk42pYchS4 #esocsm #endcancer,7.800197,http://twitter.com/pratt_ed/status/420330675309649920,http://twitter.com/pratt_ed
